name	grbc_code	fks_code	fkr_subcode	csr_code	kvr_code	year2012	year2013	year2014
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	0013100	100	67К424,2	71К924,5	74К615,4
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	0013100	130	67К424,2	71К924,5	74К615,4
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	02	0013100	131	40К503,5	44К820,4	46К497,3
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	0013100	134	26К920,7	27К104,1	28К118,1
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	0013100	200	16К386,6	16К498,9	17К116,4
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	0013100	240	16К386,6	16К498,9	17К116,4
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	0013100	244	16К386,6	16К498,9	17К116,4
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	02	0016700		591К403,6	591К303,6	591К303,6
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	0016700	100	536К403,6	536К303,6	536К303,6
ђасходы на выплаты персоналу государственных органов	188	03	02	0016700	120	295К063,6	294К963,6	294К963,6
”онд оплаты труда и страховые взносы	188	03	02	0016700	121	295К063,6	294К963,6	294К963,6
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	0016700	130	241К340,0	241К340,0	241К340,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	0016700	134	241К340,0	241К340,0	241К340,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	0016700	200	55К000,0	55К000,0	55К000,0
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	0016700	240	55К000,0	55К000,0	55К000,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	0016700	244	55К000,0	55К000,0	55К000,0
ђезервные фонды	188	03	02	0700000		30К100,0		
ђезервный фонд Џравительства ђоссийской ”едерации	188	03	02	0700100		30К100,0		
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	0700100	100	30К100,0		
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	0700100	130	30К100,0		
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	02	0700100	131	30К100,0		
“чреждениЯ по обеспечению хозЯйственного обслуживаниЯ	188	03	02	0930000		2К865К000,0	3К000К000,0	3К000К000,0
Ћбеспечение деЯтельности (оказание услуг) подведомственных учреждений	188	03	02	0939900		2К865К000,0	3К000К000,0	3К000К000,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	0939900	100	2К865К000,0	3К000К000,0	3К000К000,0
ђасходы на выплаты персоналу казенных учреждений	188	03	02	0939900	110	2К865К000,0	3К000К000,0	3К000К000,0
”онд оплаты труда и страховые взносы	188	03	02	0939900	111	2К865К000,0	3К000К000,0	3К000К000,0
”едеральные целевые программы	188	03	02	1000000		3К696К373,8	619К900,0	1К678К900,0
"”едеральнаЯ целеваЯ программа ""Џовышение безопасности дорожного движениЯ в 2006 - 2012 годах"""	188	03	02	1005900		2К998К873,8		
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	1005900	100	34К046,3		
ђасходы на выплаты персоналу казенных учреждений	188	03	02	1005900	110	34К046,3		
”онд оплаты труда и страховые взносы	188	03	02	1005900	111	34К036,4		
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	1005900	112	9,9		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	1005900	200	99К108,0		
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	1005900	240	99К108,0		
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	1005900	244	99К108,0		
Ѓюджетные инвестиции	188	03	02	1005900	400	2К865К105,3		
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1005900	410	2К865К105,3		
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм вне рамок государственного оборонного заказа	188	03	02	1005900	411	2К865К105,3		
€ные бюджетные ассигнованиЯ	188	03	02	1005900	800	614,2		
“плата налогов, сборов и иных платежей	188	03	02	1005900	850	614,2		
“плата прочих налогов, сборов и иных платежей	188	03	02	1005900	852	614,2		
"”едеральнаЯ целеваЯ программа ""Џовышение устойчивости жилых домов, основных объектов и систем жизнеобеспечениЯ в сейсмических районах ђоссийской ”едерации на 2009 - 2014 годы"""	188	03	02	1008200		162К500,0	162К500,0	162К500,0
Ѓюджетные инвестиции	188	03	02	1008200	400	162К500,0	162К500,0	162К500,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1008200	410	162К500,0	162К500,0	162К500,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм вне рамок государственного оборонного заказа	188	03	02	1008200	411	162К500,0	162К500,0	162К500,0
"”едеральнаЯ целеваЯ программа ""Ћбеспечение безопасности полетов воздушных судов государственной авиации ђоссийской ”едерации в 2011 - 2015 годах"""	188	03	02	1009400		535К000,0	457К400,0	1К516К400,0
Ѓюджетные инвестиции	188	03	02	1009400	400	535К000,0	457К400,0	1К516К400,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1009400	410	535К000,0	457К400,0	1К516К400,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	03	02	1009400	412	535К000,0	457К400,0	1К516К400,0
Ѓюджетные инвестиции в объекты капитального строительства, не включенные в целевые программы	188	03	02	1020000		12К005К823,4	21К177К771,1	19К007К394,1
‘троительство объектов общегражданского назначениЯ	188	03	02	1020200		882К190,0	319К633,4	
‘троительство объектов социального и производственного комплексов, в том числе объектов общегражданского назначениЯ, жильЯ, инфраструктуры	188	03	02	1020201		882К190,0	319К633,4	
Ѓюджетные инвестиции	188	03	02	1020201	400	882К190,0	319К633,4	
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1020201	410	882К190,0	319К633,4	
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм вне рамок государственного оборонного заказа	188	03	02	1020201	411	882К190,0	319К633,4	
‘троительство специальных и военных объектов	188	03	02	1020300		11К123К633,4	20К858К137,7	19К007К394,1
Ѓюджетные инвестиции	188	03	02	1020300	400	11К123К633,4	20К858К137,7	19К007К394,1
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	03	02	1020300	410	11К123К633,4	20К858К137,7	19К007К394,1
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм вне рамок государственного оборонного заказа	188	03	02	1020300	411	383К000,0		
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	03	02	1020300	412	10К740К633,4	20К858К137,7	19К007К394,1
Њеры государственной защиты потерпевших, свидетелей и иных участников уголовного судопроизводства	188	03	02	1320000		127К500,0	127К500,0	
‘пециальные мероприЯтиЯ	188	03	02	1328000		127К500,0	127К500,0	
€ные бюджетные ассигнованиЯ	188	03	02	1328000	800	127К500,0	127К500,0	
‘пециальные расходы	188	03	02	1328000	880	127К500,0	127К500,0	
‚оинские формированиЯ (органы, подразделениЯ)	188	03	02	2020000		611К591К680,2	598К794К746,7	598К607К278,0
ЋбЯзательное государственное страхование жизни и здоровьЯ военнослужащих, граждан, призванных на военные сборы, лиц рЯдового и начальствующего состава органов внутренних дел ђоссийской ”едерации, ѓосударственной противопожарной службы, органов по контролю за оборотом наркотических средств и психотропных веществ, должностных лиц таможенных органов, сотрудников учреждений и органов уголовно-исполнительной системы, судебных приставов	188	03	02	2021000		7К999К457,0	7К999К457,0	7К999К457,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2021000	100	7К999К457,0	7К999К457,0	7К999К457,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2021000	130	7К999К457,0	7К999К457,0	7К999К457,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	2021000	133	7К999К457,0	7К999К457,0	7К999К457,0
Ћбеспечение граждан квалифицированной юридической помощью по назначению органов дознаниЯ, органов предварительного следствиЯ, прокурора	188	03	02	2024200		2К087К187,3	1К784К500,3	1К784К500,3
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2024200	200	2К087К187,3	1К784К500,3	1К784К500,3
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	2024200	240	2К087К187,3	1К784К500,3	1К784К500,3
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2024200	244	2К087К187,3	1К784К500,3	1К784К500,3
‘пециальные мероприЯтиЯ	188	03	02	2026500		5К033К776,6	4К698К254,6	4К698К254,6
€ные бюджетные ассигнованиЯ	188	03	02	2026500	800	5К033К776,6	4К698К254,6	4К698К254,6
‘пециальные расходы	188	03	02	2026500	880	5К033К776,6	4К698К254,6	4К698К254,6
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	02	2026700		587К552К225,6	575К313К501,1	575К126К032,4
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2026700	100	514К779К364,1	503К624К735,1	503К746К169,8
ђасходы на выплаты персоналу казенных учреждений	188	03	02	2026700	110	950К818,3	950К818,3	950К918,3
”онд оплаты труда и страховые взносы	188	03	02	2026700	111	933К087,1	933К087,1	933К087,1
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	2026700	112	17К731,2	17К731,2	17К831,2
ђасходы на выплаты персоналу государственных органов	188	03	02	2026700	120	12К582К064,7	12К220К407,0	12К220К407,0
”онд оплаты труда и страховые взносы	188	03	02	2026700	121	12К545К564,7	12К220К407,0	12К220К407,0
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	2026700	122	36К500,0		
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2026700	130	501К246К481,1	490К453К509,8	490К574К844,5
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	02	2026700	131	485К474К414,0	474К380К408,6	474К380К408,6
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2026700	134	15К772К067,1	16К073К101,2	16К194К435,9
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2026700	200	72К438К054,2	71К233К958,7	70К925К055,3
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2026700	220	18К442К367,3	18К941К887,5	19К232К184,8
Ћбеспечение специальным топливом и горюче-смазочными материалами в рамках государственного оборонного заказа	188	03	02	2026700	221	11К495К060,7	11К917К199,0	11К917К199,0
Ћбеспечение специальным топливом и горюче-смазочными материалами вне рамок государственного оборонного заказа	188	03	02	2026700	222	41К490,0		
Џродовольственное обеспечение в рамках государственного оборонного заказа	188	03	02	2026700	223	1К293К650,4	1К366К451,2	1К436К273,7
Џродовольственное обеспечение вне рамок государственного оборонного заказа	188	03	02	2026700	224	1К636К882,4	1К698К680,9	1К777К026,8
‚ещевое обеспечение в рамках государственного оборонного заказа	188	03	02	2026700	225	3К495К031,9	3К456К203,3	3К594К013,5
‚ещевое обеспечение вне рамок государственного оборонного заказа	188	03	02	2026700	226	480К251,9	503К353,1	507К671,8
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	2026700	240	53К995К686,9	52К292К071,2	51К692К870,5
‡акупка товаров, работ, услуг в сфере информационно-коммуникационных технологий	188	03	02	2026700	242	6К133К834,9		
‡акупка товаров, работ, услуг в целЯх капитального ремонта государственного имущества	188	03	02	2026700	243	4К416К157,0	3К116К157,0	3К466К157,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2026700	244	43К445К695,0	49К175К914,2	48К226К713,5
€ные бюджетные ассигнованиЯ	188	03	02	2026700	800	334К807,3	454К807,3	454К807,3
€сполнение судебных актов	188	03	02	2026700	830	164К460,0	314К460,0	314К460,0
€сполнение судебных актов ђоссийской ”едерации и мировых соглашений по возмещению вреда, причиненного в результате незаконных действий (бездействиЯ) органов государственной власти (государственных органов) либо должностных лиц этих органов, а также в результате деЯтельности казенных учреждений	188	03	02	2026700	831	164К460,0	314К460,0	314К460,0
“плата налогов, сборов и иных платежей	188	03	02	2026700	850	170К347,3	140К347,3	140К347,3
“плата прочих налогов, сборов и иных платежей	188	03	02	2026700	852	170К347,3	140К347,3	140К347,3
‚озмещение учреждениЯм государственной и муниципальной систем здравоохранениЯ расходов на оказание медицинской помощи военнослужащим, гражданам, призванным на военные сборы, сотрудникам органов внутренних дел ђоссийской ”едерации, государственной противопожарной службы Њинистерства ђоссийской ”едерации по делам гражданской обороны, чрезвычайным ситуациЯм и ликвидации последствий стихийных бедствий, уголовно-исполнительной системы, таможенных органов и лицам начальствующего состава федеральной фельдъегерской свЯзи	188	03	02	2027100		1К704К751,7	1К634К751,7	1К634К751,7
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2027100	100	1К704К751,7	1К634К751,7	1К634К751,7
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2027100	130	1К704К751,7	1К634К751,7	1К634К751,7
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2027100	134	1К704К751,7	1К634К751,7	1К634К751,7
‚ыплата единовременного (выходного) пособиЯ при увольнении военнослужащих и сотрудников правоохранительных органов	188	03	02	2028700		6К186К076,0	6К336К076,0	6К336К076,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2028700	100	6К186К076,0	6К336К076,0	6К336К076,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2028700	130	6К186К076,0	6К336К076,0	6К336К076,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	2028700	133	6К186К076,0	6К336К076,0	6К336К076,0
…жемесЯчнаЯ денежнаЯ компенсациЯ за наем (поднаем) жилых помещений	188	03	02	2028800		1К028К206,0	1К028К206,0	1К028К206,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2028800	100	1К028К206,0	1К028К206,0	1К028К206,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2028800	130	1К028К206,0	1К028К206,0	1К028К206,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2028800	134	1К028К206,0	1К028К206,0	1К028К206,0
Ћбеспечение деЯтельности вневедомственной охраны	188	03	02	2150000		84К239К151,1	79К858К373,4	80К033К415,2
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	02	2156700		83К579К989,4	79К599К211,7	79К774К253,5
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2156700	100	75К584К411,9	72К253К440,7	72К281К798,8
ђасходы на выплаты персоналу казенных учреждений	188	03	02	2156700	110	10К597К803,6	9К682К003,8	9К682К193,8
”онд оплаты труда и страховые взносы	188	03	02	2156700	111	10К547К003,6	9К678К203,8	9К678К203,8
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	2156700	112	50К800,0	3К800,0	3К990,0
ђасходы на выплаты персоналу государственных органов	188	03	02	2156700	120	23К400,0	23К400,0	23К400,0
”онд оплаты труда и страховые взносы	188	03	02	2156700	121	23К400,0	23К400,0	23К400,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2156700	130	64К963К208,3	62К548К036,9	62К576К205,0
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	02	2156700	131	63К800К584,0	61К256К044,0	61К256К044,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2156700	134	1К162К624,3	1К291К992,9	1К320К161,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2156700	200	7К362К243,8	7К316К771,0	7К463К454,7
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2156700	220	2К427К564,4	2К573К473,8	2К596К801,3
Ћбеспечение специальным топливом и горюче-смазочными материалами в рамках государственного оборонного заказа	188	03	02	2156700	221	1К985К337,1	2К106К924,0	2К106К924,0
Џродовольственное обеспечение вне рамок государственного оборонного заказа	188	03	02	2156700	224	31К418,4	33К146,4	34К803,7
‚ещевое обеспечение в рамках государственного оборонного заказа	188	03	02	2156700	225	407К310,9	429К713,0	451К198,7
‚ещевое обеспечение вне рамок государственного оборонного заказа	188	03	02	2156700	226	3К498,0	3К690,4	3К874,9
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	2156700	240	4К934К679,4	4К743К297,2	4К866К653,4
‡акупка товаров, работ, услуг в сфере информационно-коммуникационных технологий	188	03	02	2156700	242	1К568К216,5		
‡акупка товаров, работ, услуг в целЯх капитального ремонта государственного имущества	188	03	02	2156700	243	74К294,4	74К294,4	74К294,4
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2156700	244	3К292К168,5	4К669К002,8	4К792К359,0
€ные бюджетные ассигнованиЯ	188	03	02	2156700	800	633К333,7	29К000,0	29К000,0
€сполнение судебных актов	188	03	02	2156700	830	35К000,0	20К000,0	20К000,0
€сполнение судебных актов ђоссийской ”едерации и мировых соглашений по возмещению вреда, причиненного в результате незаконных действий (бездействиЯ) органов государственной власти (государственных органов) либо должностных лиц этих органов, а также в результате деЯтельности казенных учреждений	188	03	02	2156700	831	35К000,0	20К000,0	20К000,0
“плата налогов, сборов и иных платежей	188	03	02	2156700	850	598К333,7	9К000,0	9К000,0
“плата прочих налогов, сборов и иных платежей	188	03	02	2156700	852	598К333,7	9К000,0	9К000,0
‚ыплата единовременного (выходного) пособиЯ при увольнении военнослужащих и сотрудников правоохранительных органов	188	03	02	2158700		564К653,8	164К653,8	164К653,8
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2158700	100	564К653,8	164К653,8	164К653,8
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2158700	130	564К653,8	164К653,8	164К653,8
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	2158700	133	564К653,8	164К653,8	164К653,8
…жемесЯчнаЯ денежнаЯ компенсациЯ за наем (поднаем) жилых помещений	188	03	02	2158800		94К507,9	94К507,9	94К507,9
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2158800	100	94К507,9	94К507,9	94К507,9
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2158800	130	94К507,9	94К507,9	94К507,9
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2158800	134	94К507,9	94К507,9	94К507,9
ЊероприЯтиЯ по обеспечению миграционной политики	188	03	02	2200000		63К956,3		
ЊероприЯтиЯ по депортации (административному выдворению)	188	03	02	2200100		63К956,3		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2200100	200	63К956,3		
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	2200100	240	63К956,3		
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2200100	244	63К956,3		
‘оциальнаЯ помощь	188	03	02	5050000		5К861К131,1	6К020К402,1	6К026К225,7
"”едеральный закон от 19 маЯ 1995 года Ь 81-”‡ ""Ћ государственных пособиЯх гражданам, имеющим детей"""	188	03	02	5050500		5К746К169,5	5К940К440,5	5К946К264,1
Џособие по беременности и родам	188	03	02	5050510		2К903К403,8	2К717К694,8	2К711К594,8
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5050510	100	2К903К403,8	2К717К694,8	2К711К594,8
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5050510	130	2К903К403,8	2К717К694,8	2К711К594,8
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	5050510	133	2К903К403,8	2К717К694,8	2К711К594,8
…диновременное пособие женщинам, вставшим на учет в медицинских учреждениЯх в ранние сроки беременности	188	03	02	5050511		8К745,4	8К745,4	8К830,1
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5050511	100	8К745,4	8К745,4	8К830,1
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5050511	130	8К745,4	8К745,4	8К830,1
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	5050511	134	8К745,4	8К745,4	8К830,1
…диновременное пособие при рождении ребенка	188	03	02	5050512		444К842,8	424К842,8	436К681,7
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5050512	100	444К842,8	424К842,8	436К681,7
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5050512	130	444К842,8	424К842,8	436К681,7
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	5050512	134	444К842,8	424К842,8	436К681,7
…жемесЯчное пособие по уходу за ребенком	188	03	02	5050513		2К389К177,5	2К789К157,5	2К789К157,5
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5050513	100	2К389К177,5	2К789К157,5	2К789К157,5
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5050513	130	2К389К177,5	2К789К157,5	2К789К157,5
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	5050513	133	2К389К177,5	2К789К157,5	2К789К157,5
"‡акон ђоссийской ”едерации от 19 февралЯ 1993 года Ь 4520-I ""Ћ государственных гарантиЯх и компенсациЯх длЯ лиц, работающих и проживающих в районах Љрайнего ‘евера и приравненных к ним местностЯх"""	188	03	02	5051000		114К961,6	79К961,6	79К961,6
ЉомпенсациЯ расходов на оплату стоимости проезда и провоза багажа к месту использованиЯ отпуска и обратно лицам, работающим в организациЯх, финансируемых из федерального бюджета, расположенных в районах Љрайнего ‘евера и приравненных к ним местностЯх	188	03	02	5051002		114К961,6	79К961,6	79К961,6
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5051002	100	114К961,6	79К961,6	79К961,6
ђасходы на выплаты персоналу казенных учреждений	188	03	02	5051002	110	79К961,6	79К961,6	79К961,6
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	5051002	112	79К961,6	79К961,6	79К961,6
ђасходы на выплаты персоналу государственных органов	188	03	02	5051002	120	35К000,0		
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	5051002	122	35К000,0		
Ћбеспечение созданиЯ, эксплуатации государственной системы изготовлениЯ, оформлениЯ и контролЯ паспортно-визовых документов нового поколениЯ	188	03	02	5260000		72К106,2	28К052,8	28К052,8
Ћбеспечение созданиЯ государственной системы изготовлениЯ, оформлениЯ и контролЯ паспортно-визовых документов нового поколениЯ	188	03	02	5260100		44К053,4		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	5260100	200	44К053,4		
