name;grbc_code;fks_code;fkr_subcode;csr_code;kvr_code;year2012;year2013;year2014
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;0016700;100;536 403,6;536 303,6;536 303,6
Расходы на выплаты персоналу государственных органов;188;03;02;0016700;120;295 063,6;294 963,6;294 963,6
Фонд оплаты труда и страховые взносы;188;03;02;0016700;121;295 063,6;294 963,6;294 963,6
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;0016700;130;241 340,0;241 340,0;241 340,0
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;0016700;134;241 340,0;241 340,0;241 340,0
Закупка товаров, работ и услуг для государственных нужд;188;03;02;0016700;200;55 000,0;55 000,0;55 000,0
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;0016700;240;55 000,0;55 000,0;55 000,0
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;0016700;244;55 000,0;55 000,0;55 000,0
Резервные фонды;188;03;02;0700000;;30 100,0;;
Резервный фонд Правительства Российской Федерации;188;03;02;0700100;;30 100,0;;
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;0700100;100;30 100,0;;
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;0700100;130;30 100,0;;
Денежное довольствие военнослужащих и приравненных к ним лиц;188;03;02;0700100;131;30 100,0;;
Учреждения по обеспечению хозяйственного обслуживания;188;03;02;0930000;;2 865 000,0;3 000 000,0;3 000 000,0
Обеспечение деятельности (оказание услуг) подведомственных учреждений;188;03;02;0939900;;2 865 000,0;3 000 000,0;3 000 000,0
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;0939900;100;2 865 000,0;3 000 000,0;3 000 000,0
Расходы на выплаты персоналу казенных учреждений;188;03;02;0939900;110;2 865 000,0;3 000 000,0;3 000 000,0
Фонд оплаты труда и страховые взносы;188;03;02;0939900;111;2 865 000,0;3 000 000,0;3 000 000,0
Федеральные целевые программы;188;03;02;1000000;;3 696 373,8;619 900,0;1 678 900,0
"Федеральная целевая программа ""Повышение безопасности дорожного движения в 2006 - 2012 годах""";188;03;02;1005900;;2 998 873,8;;
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;1005900;100;34 046,3;;
Расходы на выплаты персоналу казенных учреждений;188;03;02;1005900;110;34 046,3;;
Фонд оплаты труда и страховые взносы;188;03;02;1005900;111;34 036,4;;
Иные выплаты персоналу, за исключением фонда оплаты труда;188;03;02;1005900;112;9,9;;
Закупка товаров, работ и услуг для государственных нужд;188;03;02;1005900;200;99 108,0;;
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;1005900;240;99 108,0;;
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;1005900;244;99 108,0;;
Бюджетные инвестиции;188;03;02;1005900;400;2 865 105,3;;
Бюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениям;188;03;02;1005900;410;2 865 105,3;;
Бюджетные инвестиции в объекты государственной собственности казенным учреждениям вне рамок государственного оборонного заказа;188;03;02;1005900;411;2 865 105,3;;
Иные бюджетные ассигнования;188;03;02;1005900;800;614,2;;
Уплата налогов, сборов и иных платежей;188;03;02;1005900;850;614,2;;
Уплата прочих налогов, сборов и иных платежей;188;03;02;1005900;852;614,2;;
"Федеральная целевая программа ""Повышение устойчивости жилых домов, основных объектов и систем жизнеобеспечения в сейсмических районах Российской Федерации на 2009 - 2014 годы""";188;03;02;1008200;;162 500,0;162 500,0;162 500,0
Бюджетные инвестиции;188;03;02;1008200;400;162 500,0;162 500,0;162 500,0
Бюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениям;188;03;02;1008200;410;162 500,0;162 500,0;162 500,0
Бюджетные инвестиции в объекты государственной собственности казенным учреждениям вне рамок государственного оборонного заказа;188;03;02;1008200;411;162 500,0;162 500,0;162 500,0
"Федеральная целевая программа ""Обеспечение безопасности полетов воздушных судов государственной авиации Российской Федерации в 2011 - 2015 годах""";188;03;02;1009400;;535 000,0;457 400,0;1 516 400,0
Бюджетные инвестиции;188;03;02;1009400;400;535 000,0;457 400,0;1 516 400,0
Бюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениям;188;03;02;1009400;410;535 000,0;457 400,0;1 516 400,0
Бюджетные инвестиции в объекты государственной собственности казенным учреждениям в рамках государственного оборонного заказа;188;03;02;1009400;412;535 000,0;457 400,0;1 516 400,0
Бюджетные инвестиции в объекты капитального строительства, не включенные в целевые программы;188;03;02;1020000;;12 005 823,4;21 177 771,1;19 007 394,1
Строительство объектов общегражданского назначения;188;03;02;1020200;;882 190,0;319 633,4;
Строительство объектов социального и производственного комплексов, в том числе объектов общегражданского назначения, жилья, инфраструктуры;188;03;02;1020201;;882 190,0;319 633,4;
Бюджетные инвестиции;188;03;02;1020201;400;882 190,0;319 633,4;
Бюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениям;188;03;02;1020201;410;882 190,0;319 633,4;
Бюджетные инвестиции в объекты государственной собственности казенным учреждениям вне рамок государственного оборонного заказа;188;03;02;1020201;411;882 190,0;319 633,4;
Строительство специальных и военных объектов;188;03;02;1020300;;11 123 633,4;20 858 137,7;19 007 394,1
Бюджетные инвестиции;188;03;02;1020300;400;11 123 633,4;20 858 137,7;19 007 394,1
Бюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениям;188;03;02;1020300;410;11 123 633,4;20 858 137,7;19 007 394,1
Бюджетные инвестиции в объекты государственной собственности казенным учреждениям вне рамок государственного оборонного заказа;188;03;02;1020300;411;383 000,0;;
Бюджетные инвестиции в объекты государственной собственности казенным учреждениям в рамках государственного оборонного заказа;188;03;02;1020300;412;10 740 633,4;20 858 137,7;19 007 394,1
Меры государственной защиты потерпевших, свидетелей и иных участников уголовного судопроизводства;188;03;02;1320000;;127 500,0;127 500,0;
Специальные мероприятия;188;03;02;1328000;;127 500,0;127 500,0;
Иные бюджетные ассигнования;188;03;02;1328000;800;127 500,0;127 500,0;
Специальные расходы;188;03;02;1328000;880;127 500,0;127 500,0;
Воинские формирования (органы, подразделения);188;03;02;2020000;;611 591 680,2;598 794 746,7;598 607 278,0
Обязательное государственное страхование жизни и здоровья военнослужащих, граждан, призванных на военные сборы, лиц рядового и начальствующего состава органов внутренних дел Российской Федерации, Государственной противопожарной службы, органов по контролю за оборотом наркотических средств и психотропных веществ, должностных лиц таможенных органов, сотрудников учреждений и органов уголовно-исполнительной системы, судебных приставов;188;03;02;2021000;;7 999 457,0;7 999 457,0;7 999 457,0
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;2021000;100;7 999 457,0;7 999 457,0;7 999 457,0
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2021000;130;7 999 457,0;7 999 457,0;7 999 457,0
Расходы на выплаты, зависящие от размера денежного довольствия;188;03;02;2021000;133;7 999 457,0;7 999 457,0;7 999 457,0
Обеспечение граждан квалифицированной юридической помощью по назначению органов дознания, органов предварительного следствия, прокурора;188;03;02;2024200;;2 087 187,3;1 784 500,3;1 784 500,3
Закупка товаров, работ и услуг для государственных нужд;188;03;02;2024200;200;2 087 187,3;1 784 500,3;1 784 500,3
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;2024200;240;2 087 187,3;1 784 500,3;1 784 500,3
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;2024200;244;2 087 187,3;1 784 500,3;1 784 500,3
Специальные мероприятия;188;03;02;2026500;;5 033 776,6;4 698 254,6;4 698 254,6
Иные бюджетные ассигнования;188;03;02;2026500;800;5 033 776,6;4 698 254,6;4 698 254,6
Специальные расходы;188;03;02;2026500;880;5 033 776,6;4 698 254,6;4 698 254,6
Функционирование Вооруженных Сил Российской Федерации, органов в сфере национальной безопасности и правоохранительной деятельности, войск и иных воинских формирований;188;03;02;2026700;;587 552 225,6;575 313 501,1;575 126 032,4
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;2026700;100;514 779 364,1;503 624 735,1;503 746 169,8
Расходы на выплаты персоналу казенных учреждений;188;03;02;2026700;110;950 818,3;950 818,3;950 918,3
Фонд оплаты труда и страховые взносы;188;03;02;2026700;111;933 087,1;933 087,1;933 087,1
Иные выплаты персоналу, за исключением фонда оплаты труда;188;03;02;2026700;112;17 731,2;17 731,2;17 831,2
Расходы на выплаты персоналу государственных органов;188;03;02;2026700;120;12 582 064,7;12 220 407,0;12 220 407,0
Фонд оплаты труда и страховые взносы;188;03;02;2026700;121;12 545 564,7;12 220 407,0;12 220 407,0
Иные выплаты персоналу, за исключением фонда оплаты труда;188;03;02;2026700;122;36 500,0;;
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2026700;130;501 246 481,1;490 453 509,8;490 574 844,5
Денежное довольствие военнослужащих и приравненных к ним лиц;188;03;02;2026700;131;485 474 414,0;474 380 408,6;474 380 408,6
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;2026700;134;15 772 067,1;16 073 101,2;16 194 435,9
Закупка товаров, работ и услуг для государственных нужд;188;03;02;2026700;200;72 438 054,2;71 233 958,7;70 925 055,3
Закупка товаров, работ и услуг для обеспечения специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечения органов в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2026700;220;18 442 367,3;18 941 887,5;19 232 184,8
Обеспечение специальным топливом и горюче-смазочными материалами в рамках государственного оборонного заказа;188;03;02;2026700;221;11 495 060,7;11 917 199,0;11 917 199,0
Обеспечение специальным топливом и горюче-смазочными материалами вне рамок государственного оборонного заказа;188;03;02;2026700;222;41 490,0;;
Продовольственное обеспечение в рамках государственного оборонного заказа;188;03;02;2026700;223;1 293 650,4;1 366 451,2;1 436 273,7
Продовольственное обеспечение вне рамок государственного оборонного заказа;188;03;02;2026700;224;1 636 882,4;1 698 680,9;1 777 026,8
Вещевое обеспечение в рамках государственного оборонного заказа;188;03;02;2026700;225;3 495 031,9;3 456 203,3;3 594 013,5
Вещевое обеспечение вне рамок государственного оборонного заказа;188;03;02;2026700;226;480 251,9;503 353,1;507 671,8
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;2026700;240;53 995 686,9;52 292 071,2;51 692 870,5
Закупка товаров, работ, услуг в сфере информационно-коммуникационных технологий;188;03;02;2026700;242;6 133 834,9;;
Закупка товаров, работ, услуг в целях капитального ремонта государственного имущества;188;03;02;2026700;243;4 416 157,0;3 116 157,0;3 466 157,0
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;2026700;244;43 445 695,0;49 175 914,2;48 226 713,5
Иные бюджетные ассигнования;188;03;02;2026700;800;334 807,3;454 807,3;454 807,3
Исполнение судебных актов;188;03;02;2026700;830;164 460,0;314 460,0;314 460,0
Исполнение судебных актов Российской Федерации и мировых соглашений по возмещению вреда, причиненного в результате незаконных действий (бездействия) органов государственной власти (государственных органов) либо должностных лиц этих органов, а также в результате деятельности казенных учреждений;188;03;02;2026700;831;164 460,0;314 460,0;314 460,0
Уплата налогов, сборов и иных платежей;188;03;02;2026700;850;170 347,3;140 347,3;140 347,3
Уплата прочих налогов, сборов и иных платежей;188;03;02;2026700;852;170 347,3;140 347,3;140 347,3
Возмещение учреждениям государственной и муниципальной систем здравоохранения расходов на оказание медицинской помощи военнослужащим, гражданам, призванным на военные сборы, сотрудникам органов внутренних дел Российской Федерации, государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий, уголовно-исполнительной системы, таможенных органов и лицам начальствующего состава федеральной фельдъегерской связи;188;03;02;2027100;;1 704 751,7;1 634 751,7;1 634 751,7
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;2027100;100;1 704 751,7;1 634 751,7;1 634 751,7
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2027100;130;1 704 751,7;1 634 751,7;1 634 751,7
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;2027100;134;1 704 751,7;1 634 751,7;1 634 751,7
Выплата единовременного (выходного) пособия при увольнении военнослужащих и сотрудников правоохранительных органов;188;03;02;2028700;;6 186 076,0;6 336 076,0;6 336 076,0
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;2028700;100;6 186 076,0;6 336 076,0;6 336 076,0
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2028700;130;6 186 076,0;6 336 076,0;6 336 076,0
Расходы на выплаты, зависящие от размера денежного довольствия;188;03;02;2028700;133;6 186 076,0;6 336 076,0;6 336 076,0
Ежемесячная денежная компенсация за наем (поднаем) жилых помещений;188;03;02;2028800;;1 028 206,0;1 028 206,0;1 028 206,0
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;2028800;100;1 028 206,0;1 028 206,0;1 028 206,0
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2028800;130;1 028 206,0;1 028 206,0;1 028 206,0
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;2028800;134;1 028 206,0;1 028 206,0;1 028 206,0
Обеспечение деятельности вневедомственной охраны;188;03;02;2150000;;84 239 151,1;79 858 373,4;80 033 415,2
Функционирование Вооруженных Сил Российской Федерации, органов в сфере национальной безопасности и правоохранительной деятельности, войск и иных воинских формирований;188;03;02;2156700;;83 579 989,4;79 599 211,7;79 774 253,5
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;2156700;100;75 584 411,9;72 253 440,7;72 281 798,8
Расходы на выплаты персоналу казенных учреждений;188;03;02;2156700;110;10 597 803,6;9 682 003,8;9 682 193,8
Фонд оплаты труда и страховые взносы;188;03;02;2156700;111;10 547 003,6;9 678 203,8;9 678 203,8
Иные выплаты персоналу, за исключением фонда оплаты труда;188;03;02;2156700;112;50 800,0;3 800,0;3 990,0
Расходы на выплаты персоналу государственных органов;188;03;02;2156700;120;23 400,0;23 400,0;23 400,0
Фонд оплаты труда и страховые взносы;188;03;02;2156700;121;23 400,0;23 400,0;23 400,0
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2156700;130;64 963 208,3;62 548 036,9;62 576 205,0
Денежное довольствие военнослужащих и приравненных к ним лиц;188;03;02;2156700;131;63 800 584,0;61 256 044,0;61 256 044,0
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;2156700;134;1 162 624,3;1 291 992,9;1 320 161,0
Закупка товаров, работ и услуг для государственных нужд;188;03;02;2156700;200;7 362 243,8;7 316 771,0;7 463 454,7
Закупка товаров, работ и услуг для обеспечения специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечения органов в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2156700;220;2 427 564,4;2 573 473,8;2 596 801,3
Обеспечение специальным топливом и горюче-смазочными материалами в рамках государственного оборонного заказа;188;03;02;2156700;221;1 985 337,1;2 106 924,0;2 106 924,0
Продовольственное обеспечение вне рамок государственного оборонного заказа;188;03;02;2156700;224;31 418,4;33 146,4;34 803,7
Вещевое обеспечение в рамках государственного оборонного заказа;188;03;02;2156700;225;407 310,9;429 713,0;451 198,7
Вещевое обеспечение вне рамок государственного оборонного заказа;188;03;02;2156700;226;3 498,0;3 690,4;3 874,9
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;2156700;240;4 934 679,4;4 743 297,2;4 866 653,4
Закупка товаров, работ, услуг в сфере информационно-коммуникационных технологий;188;03;02;2156700;242;1 568 216,5;;
Закупка товаров, работ, услуг в целях капитального ремонта государственного имущества;188;03;02;2156700;243;74 294,4;74 294,4;74 294,4
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;2156700;244;3 292 168,5;4 669 002,8;4 792 359,0
Иные бюджетные ассигнования;188;03;02;2156700;800;633 333,7;29 000,0;29 000,0
Исполнение судебных актов;188;03;02;2156700;830;35 000,0;20 000,0;20 000,0
Исполнение судебных актов Российской Федерации и мировых соглашений по возмещению вреда, причиненного в результате незаконных действий (бездействия) органов государственной власти (государственных органов) либо должностных лиц этих органов, а также в результате деятельности казенных учреждений;188;03;02;2156700;831;35 000,0;20 000,0;20 000,0
Уплата налогов, сборов и иных платежей;188;03;02;2156700;850;598 333,7;9 000,0;9 000,0
Уплата прочих налогов, сборов и иных платежей;188;03;02;2156700;852;598 333,7;9 000,0;9 000,0
Выплата единовременного (выходного) пособия при увольнении военнослужащих и сотрудников правоохранительных органов;188;03;02;2158700;;564 653,8;164 653,8;164 653,8
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;2158700;100;564 653,8;164 653,8;164 653,8
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2158700;130;564 653,8;164 653,8;164 653,8
Расходы на выплаты, зависящие от размера денежного довольствия;188;03;02;2158700;133;564 653,8;164 653,8;164 653,8
Ежемесячная денежная компенсация за наем (поднаем) жилых помещений;188;03;02;2158800;;94 507,9;94 507,9;94 507,9
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;2158800;100;94 507,9;94 507,9;94 507,9
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;2158800;130;94 507,9;94 507,9;94 507,9
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;2158800;134;94 507,9;94 507,9;94 507,9
Мероприятия по обеспечению миграционной политики;188;03;02;2200000;;63 956,3;;
Мероприятия по депортации (административному выдворению);188;03;02;2200100;;63 956,3;;
Закупка товаров, работ и услуг для государственных нужд;188;03;02;2200100;200;63 956,3;;
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;2200100;240;63 956,3;;
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;2200100;244;63 956,3;;
Социальная помощь;188;03;02;5050000;;5 861 131,1;6 020 402,1;6 026 225,7
"Федеральный закон от 19 мая 1995 года № 81-ФЗ ""О государственных пособиях гражданам, имеющим детей""";188;03;02;5050500;;5 746 169,5;5 940 440,5;5 946 264,1
Пособие по беременности и родам;188;03;02;5050510;;2 903 403,8;2 717 694,8;2 711 594,8
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;5050510;100;2 903 403,8;2 717 694,8;2 711 594,8
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;5050510;130;2 903 403,8;2 717 694,8;2 711 594,8
Расходы на выплаты, зависящие от размера денежного довольствия;188;03;02;5050510;133;2 903 403,8;2 717 694,8;2 711 594,8
Единовременное пособие женщинам, вставшим на учет в медицинских учреждениях в ранние сроки беременности;188;03;02;5050511;;8 745,4;8 745,4;8 830,1
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;5050511;100;8 745,4;8 745,4;8 830,1
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;5050511;130;8 745,4;8 745,4;8 830,1
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;5050511;134;8 745,4;8 745,4;8 830,1
Единовременное пособие при рождении ребенка;188;03;02;5050512;;444 842,8;424 842,8;436 681,7
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;5050512;100;444 842,8;424 842,8;436 681,7
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;5050512;130;444 842,8;424 842,8;436 681,7
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;5050512;134;444 842,8;424 842,8;436 681,7
Ежемесячное пособие по уходу за ребенком;188;03;02;5050513;;2 389 177,5;2 789 157,5;2 789 157,5
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;5050513;100;2 389 177,5;2 789 157,5;2 789 157,5
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;5050513;130;2 389 177,5;2 789 157,5;2 789 157,5
Расходы на выплаты, зависящие от размера денежного довольствия;188;03;02;5050513;133;2 389 177,5;2 789 157,5;2 789 157,5
"Закон Российской Федерации от 19 февраля 1993 года № 4520-I ""О государственных гарантиях и компенсациях для лиц, работающих и проживающих в районах Крайнего Севера и приравненных к ним местностях""";188;03;02;5051000;;114 961,6;79 961,6;79 961,6
Компенсация расходов на оплату стоимости проезда и провоза багажа к месту использования отпуска и обратно лицам, работающим в организациях, финансируемых из федерального бюджета, расположенных в районах Крайнего Севера и приравненных к ним местностях;188;03;02;5051002;;114 961,6;79 961,6;79 961,6
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;5051002;100;114 961,6;79 961,6;79 961,6
Расходы на выплаты персоналу казенных учреждений;188;03;02;5051002;110;79 961,6;79 961,6;79 961,6
Иные выплаты персоналу, за исключением фонда оплаты труда;188;03;02;5051002;112;79 961,6;79 961,6;79 961,6
Расходы на выплаты персоналу государственных органов;188;03;02;5051002;120;35 000,0;;
Иные выплаты персоналу, за исключением фонда оплаты труда;188;03;02;5051002;122;35 000,0;;
Обеспечение создания, эксплуатации государственной системы изготовления, оформления и контроля паспортно-визовых документов нового поколения;188;03;02;5260000;;72 106,2;28 052,8;28 052,8
Обеспечение создания государственной системы изготовления, оформления и контроля паспортно-визовых документов нового поколения;188;03;02;5260100;;44 053,4;;
Закупка товаров, работ и услуг для государственных нужд;188;03;02;5260100;200;44 053,4;;
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;5260100;240;44 053,4;;
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;5260100;244;44 053,4;;
Эксплуатация государственной системы изготовления, оформления и контроля паспортно-визовых документов нового поколения;188;03;02;5260200;;28 052,8;28 052,8;28 052,8
