_id,code,name,active,name_upper
50,49,Магаданская область,0,МАГАДАНСКАЯ ОБЛАСТЬ
51,50,Московская область,0,МОСКОВСКАЯ ОБЛАСТЬ
52,51,Мурманская область,0,МУРМАНСКАЯ ОБЛАСТЬ
53,52,Нижегородская область,0,НИЖЕГОРОДСКАЯ ОБЛАСТЬ
54,53,Новгородская область,0,НОВГОРОДСКАЯ ОБЛАСТЬ
55,54,Новосибирская область,0,НОВОСИБИРСКАЯ ОБЛАСТЬ
56,55,Омская область,0,ОМСКАЯ ОБЛАСТЬ
57,56,Оренбургская область,0,ОРЕНБУРГСКАЯ ОБЛАСТЬ
58,57,Орловская область,0,ОРЛОВСКАЯ ОБЛАСТЬ
59,58,Пензенская область,0,ПЕНЗЕНСКАЯ ОБЛАСТЬ
60,59,Пермский край,0,ПЕРМСКИЙ КРАЙ
62,60,Псковская область,0,ПСКОВСКАЯ ОБЛАСТЬ
63,61,Ростовская область,0,РОСТОВСКАЯ ОБЛАСТЬ
64,62,Рязанская область,0,РЯЗАНСКАЯ ОБЛАСТЬ
65,63,Самарская область,0,САМАРСКАЯ ОБЛАСТЬ
66,64,Саратовская область,0,САРАТОВСКАЯ ОБЛАСТЬ
67,65,Сахалинская область,0,САХАЛИНСКАЯ ОБЛАСТЬ
68,66,Свердловская область,0,СВЕРДЛОВСКАЯ ОБЛАСТЬ
69,67,Смоленская область,0,СМОЛЕНСКАЯ ОБЛАСТЬ
70,68,Тамбовская область,0,ТАМБОВСКАЯ ОБЛАСТЬ
71,69,Тверская область,0,ТВЕРСКАЯ ОБЛАСТЬ
72,70,Томская область,0,ТОМСКАЯ ОБЛАСТЬ
73,71,Тульская область,0,ТУЛЬСКАЯ ОБЛАСТЬ
74,72,Тюменская область,0,ТЮМЕНСКАЯ ОБЛАСТЬ
75,73,Ульяновская область,0,УЛЬЯНОВСКАЯ ОБЛАСТЬ
76,74,Челябинская область,0,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ
77,75,Забайкальский край,0,ЗАБАЙКАЛЬСКИЙ КРАЙ
79,76,Ярославская область,0,ЯРОСЛАВСКАЯ ОБЛАСТЬ
80,77,Москва,0,МОСКВА
81,78,Санкт-Петербург,0,САНКТ-ПЕТЕРБУРГ
82,79,Еврейская автономная область,0,ЕВРЕЙСКАЯ АВТОНОМНАЯ ОБЛАСТЬ
86,83,Ненецкий автономный округ,0,НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ
89,86,Ханты-Мансийский автономный округ - Югра,0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА
90,87,Чукотский автономный округ,0,ЧУКОТСКИЙ АВТОНОМНЫЙ ОКРУГ
92,89,Ямало-Ненецкий автономный округ,0,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ
84,82,Республика Крым,0,РЕСПУБЛИКА КРЫМ
85,92,Севастополь,0,СЕВАСТОПОЛЬ
